"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","COMUNIDADES","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"6886","4.6683592","2.872E-5","0.21420802","0.0952381","120","7","21","false","GNAT3","29.14285714","7","0","0","0.88536377","false","0","GNAT3","1635128","0.20703934"
"6948","5.40432323","1.019E-5","0.18503704","0.0","13","4","21","false","AK6","29.75","4","0","0","0.8623649","false","0","AK6","918530","0.43560606"
"6968","5.31292616","6.33E-6","0.1882202","0.0","13","2","21","false","ADK","52.5","2","0","0","0.86522106","false","0","ADK","998280","0.54787234"
"6970","5.30117511","7.016E-5","0.18863742","0.0","13","4","21","false","DCK","32.0","4","0","0","0.86558828","false","0","DCK","17515420","0.31313131"
"6980","5.40490353","1.54E-6","0.18501718","0.0","13","2","21","false","AK3","40.5","2","0","0","0.86234676","false","0","AK3","86560","0.59848485"
"6984","4.35035543","0.00102773","0.22986628","0.4","14","21","19","false","STK11","57.47619048","21","0","0","0.89530139","false","0","STK11","24890512","0.1771017"
"7001","5.48991731","5.7E-7","0.18215211","0.0","13","2","21","false","ENTPD2","35.0","2","0","0","0.85969008","false","0","ENTPD2","10810","0.65384615"
"7011","5.25881329","0.00130259","0.19015697","0.0","212","8","21","false","NUDT2","13.0","8","0","0","0.86691208","false","0","NUDT2","64460054","0.21052632"
"7016","4.78456405","1.4149E-4","0.20900546","0.16666667","13","4","21","false","P2RY1","82.5","4","0","0","0.88173237","false","0","P2RY1","5653606","0.38679245"
"7018","5.48991731","5.7E-7","0.18215211","0.0","13","2","21","false","P2RX1","35.0","2","0","0","0.85969008","false","0","P2RX1","10810","0.65384615"
"7020","5.55316988","0.0","0.18007733","0.0","13","1","21","false","P2RX7","37.0","1","0","0","0.85771344","false","0","P2RX7","0","0.0"
"7022","5.55316988","0.0","0.18007733","0.0","13","1","21","false","P2RX2","37.0","1","0","0","0.85771344","false","0","P2RX2","0","0.0"
"7024","5.55316988","0.0","0.18007733","0.0","13","1","21","false","P2RX3","37.0","1","0","0","0.85771344","false","0","P2RX3","0","0.0"
"7026","5.55316988","0.0","0.18007733","0.0","13","1","21","false","P2RY4","37.0","1","0","0","0.85771344","false","0","P2RY4","0","0.0"
"7028","4.84172349","8.81E-6","0.20653802","0.0","13","2","21","false","P2RY2","84.0","2","0","0","0.87994614","false","0","P2RY2","1191106","0.53548387"
"7030","5.55316988","0.0","0.18007733","0.0","13","1","21","false","TRPM4","37.0","1","0","0","0.85771344","false","0","TRPM4","0","0.0"
"7032","4.21166401","1.573E-4","0.23743584","0.16363636","11","11","20","false","ABCC8","227.18181818","11","0","0","0.8996355","false","0","ABCC8","20385348","0.27604916"
