"SUID","AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"199500","4.74284156","1.692E-5","0.21084407","0.83982684","22","11","false","FZR1","28.86363636","22","0","0","0.73265417","false","0","FZR1","358950","0.39004914"
"199506","4.8573766","0.0","0.20587245","0.0","1","11","false","WEE1","53.0","1","0","0","0.7244731","false","0","WEE1","0","0.0"
"199504","4.8573766","0.0","0.20587245","0.0","1","11","false","WEE2","53.0","1","0","0","0.7244731","false","0","WEE2","0","0.0"
"199510","4.48704663","1.5152E-4","0.22286374","0.3","5","11","false","SFN","27.8","5","0","0","0.75092524","false","0","SFN","153036","0.39428571"
"199525","4.85574039","1.3624E-4","0.20594182","0.5","4","11","false","CPEB2","24.5","4","0","0","0.72458997","false","0","CPEB2","2445986","0.44907407"
"199529","4.85574039","1.3624E-4","0.20594182","0.5","4","11","false","CPEB1","24.5","4","0","0","0.72458997","false","0","CPEB1","2445986","0.44907407"
"199527","4.85574039","1.3624E-4","0.20594182","0.5","4","11","false","CPEB3","24.5","4","0","0","0.72458997","false","0","CPEB3","2445986","0.44907407"
"199533","4.85628579","0.0","0.20591869","1.0","3","11","false","SLK","31.33333333","3","0","0","0.72455101","false","0","SLK","0","0.58024691"
"199531","4.85574039","1.3624E-4","0.20594182","0.5","4","11","false","CPEB4","24.5","4","0","0","0.72458997","false","0","CPEB4","2445986","0.44907407"
"191345","4.11726207","1.0E-8","0.24287985","0.66666667","4","10","false","ZYX","65.0","4","0","0","0.77733842","false","0","ZYX","4","0.63106796"
"199538","5.65530406","8.1521E-4","0.17682515","0.90909091","12","11","false","ORC3","12.75","12","0","0","0.66747828","false","0","ORC3","42406080","0.70833333"
"199541","5.65530406","8.1521E-4","0.17682515","0.90909091","12","11","false","ORC6","12.75","12","0","0","0.66747828","false","0","ORC6","42406080","0.70833333"
"199539","5.65530406","8.1521E-4","0.17682515","0.90909091","12","11","false","ORC5","12.75","12","0","0","0.66747828","false","0","ORC5","42406080","0.70833333"
"199545","5.65530406","8.1521E-4","0.17682515","0.90909091","12","11","false","ORC2","12.75","12","0","0","0.66747828","false","0","ORC2","42406080","0.70833333"
"199543","5.65530406","8.1521E-4","0.17682515","0.90909091","12","11","false","ORC1","12.75","12","0","0","0.66747828","false","0","ORC1","42406080","0.70833333"
"199549","6.65066812","2.7223E-4","0.15036083","0.78021978","14","12","false","MCM7","11.57142857","14","0","0","0.59638085","false","0","MCM7","31804600","0.77142857"
"199547","5.65530406","8.1521E-4","0.17682515","0.90909091","12","11","false","ORC4","12.75","12","0","0","0.66747828","false","0","ORC4","42406080","0.70833333"
"199553","6.65066812","2.7223E-4","0.15036083","0.78021978","14","12","false","MCM2","11.57142857","14","0","0","0.59638085","false","0","MCM2","31804600","0.77142857"
"199551","6.65066812","2.7223E-4","0.15036083","0.78021978","14","12","false","MCM6","11.57142857","14","0","0","0.59638085","false","0","MCM6","31804600","0.77142857"
"191365","4.11126261","2.863E-5","0.24323428","0.39285714","8","10","false","ARPC4","36.0","8","0","0","0.77776696","false","0","ARPC4","209834","0.33962264"
"199557","6.65066812","2.7223E-4","0.15036083","0.78021978","14","12","false","MCM4","11.57142857","14","0","0","0.59638085","false","0","MCM4","31804600","0.77142857"
"191363","4.11126261","2.863E-5","0.24323428","0.39285714","8","10","false","ARPC5","36.0","8","0","0","0.77776696","false","0","ARPC5","209834","0.33962264"
"199555","6.65066812","2.7223E-4","0.15036083","0.78021978","14","12","false","MCM3","11.57142857","14","0","0","0.59638085","false","0","MCM3","31804600","0.77142857"
"191369","4.11126261","2.863E-5","0.24323428","0.39285714","8","10","false","ARPC1B","36.0","8","0","0","0.77776696","false","0","ARPC1B","209834","0.33962264"
"191367","4.11126261","2.863E-5","0.24323428","0.39285714","8","10","false","ARPC3","36.0","8","0","0","0.77776696","false","0","ARPC3","209834","0.33962264"
"199559","6.65066812","2.7223E-4","0.15036083","0.78021978","14","12","false","MCM5","11.57142857","14","0","0","0.59638085","false","0","MCM5","31804600","0.77142857"
"191373","4.11126261","2.863E-5","0.24323428","0.39285714","8","10","false","ARPC1A","36.0","8","0","0","0.77776696","false","0","ARPC1A","209834","0.33962264"
"191371","4.11126261","2.863E-5","0.24323428","0.39285714","8","10","false","ARPC2","36.0","8","0","0","0.77776696","false","0","ARPC2","209834","0.33962264"
"191375","4.11126261","2.863E-5","0.24323428","0.39285714","8","10","false","ARPC5L","36.0","8","0","0","0.77776696","false","0","ARPC5L","209834","0.33962264"
"191382","3.94627761","1.986E-5","0.25340336","0.0","5","10","false","RDX","44.4","5","0","0","0.7895516","false","0","RDX","37222","0.3773913"
"191379","3.87701118","1.516E-5","0.25793065","0.0","6","10","false","MSN","40.0","6","0","0","0.7944992","false","0","MSN","28704","0.30708661"
"191386","4.07935642","6.6E-7","0.24513671","0.35555556","10","10","false","MYH10","33.0","10","0","0","0.78004597","false","0","MYH10","300","0.2920354"
"191384","3.94055086","6.82E-6","0.25377163","0.48484848","12","10","false","MYH9","33.41666667","12","0","0","0.78996065","false","0","MYH9","8232","0.25315657"
"191390","4.11998909","0.0","0.24271909","0.0","2","10","false","TMSB4X","94.0","2","0","0","0.77714364","false","0","TMSB4X","2","1.0"
"191388","4.07935642","6.6E-7","0.24513671","0.35555556","10","10","false","MYH14","33.0","10","0","0","0.78004597","false","0","MYH14","300","0.2920354"
"191392","4.11998909","0.0","0.24271909","0.0","2","10","false","TMSB4Y","94.0","2","0","0","0.77714364","false","0","TMSB4Y","2","1.0"
"191396","4.11208072","9.706E-5","0.24318589","0.0","3","10","false","DMD","67.66666667","3","0","0","0.77770852","false","0","DMD","228906","0.62305296"
"199614","7.6487592","0.0","0.13074016","1.0","7","13","false","CDC7","13.0","7","0","0","0.52508863","false","0","CDC7","0","0.92857143"
"199612","7.6487592","0.0","0.13074016","1.0","7","13","false","DBF4","13.0","7","0","0","0.52508863","false","0","DBF4","0","0.92857143"
"199616","7.64903191","0.0","0.1307355","1.0","6","13","false","CDC45","14.0","6","0","0","0.52506915","false","0","CDC45","0","1.0"
"175069","3.43386965","0.00344999","0.29121665","0.24285714","21","10","false","BAX","63.80952381","21","0","0","0.82615217","false","0","BAX","21722180","0.16766917"
"175073","3.59912735","0.00101972","0.27784513","0.12121212","12","10","false","DDIT3","65.08333333","12","0","0","0.81434805","false","0","DDIT3","3029128","0.27240896"
"175077","4.54240524","0.0","0.22014769","0.0","1","11","false","MIR32","8.0","1","0","0","0.74697105","false","0","MIR32","0","0.0"
"175075","4.43332424","0.00218417","0.22556437","0.0","5","11","false","MCL1","7.2","5","0","0","0.75476255","false","0","MCL1","3783278","0.2137931"
"191473","4.24106899","3.38E-6","0.23578961","0.66666667","3","10","false","YES1","18.33333333","3","0","0","0.76849507","false","0","YES1","1356","0.36666667"
"175090","3.78101991","0.0","0.2644789","1.0","5","10","false","APAF1","36.6","5","0","0","0.80135572","false","0","APAF1","0","0.29047619"
"175093","3.59121898","0.00230897","0.27845698","0.04333333","25","10","false","BID","25.72","25","0","0","0.81491293","false","0","BID","5315544","0.10926407"
"191476","4.68911917","0.0","0.21325967","0.0","1","10","false","PTPRJ","15.0","1","0","0","0.73649149","false","0","PTPRJ","0","0.0"
"175098","3.74202345","3.0579E-4","0.2672351","0.07142857","8","10","false","CAPN2","30.25","8","0","0","0.80414118","false","0","CAPN2","214880","0.16928571"
"175096","4.29288247","5.277E-5","0.23294372","0.2","5","11","false","CAPN1","14.4","5","0","0","0.76479411","false","0","CAPN1","19146","0.25925926"
"175101","4.38887374","0.00177015","0.22784889","0.06878307","28","11","false","AIFM1","32.35714286","28","0","0","0.75793759","false","0","AIFM1","16547388","0.41437729"
"191485","4.43850559","4.9393E-4","0.22530106","0.16666667","4","11","false","CD226","17.0","4","0","0","0.75439246","false","0","CD226","2070096","0.40243902"
"191490","4.44832288","3.0E-8","0.22480383","0.66666667","3","11","false","ICAM2","28.33333333","3","0","0","0.75369122","false","0","ICAM2","12","0.78703704"
"183295","4.19307336","9.461E-5","0.23848855","0.0","5","10","false","CEBPA","22.0","5","0","0","0.77192333","false","0","CEBPA","105036","0.22340426"
